payment_id;order_id;tipo_pagamento;data_pagamento;valor_pago
1;39918;boleto;12/04/2024;493.31
2;1233;paypal;08/02/2024;186.39
3;29743;cartao_credito;05/02/2024;1233.01
4;31346;cartao_credito;29/05/2024;909.72
5;30225;paypal;20/06/2024;1929.45
6;22424;cartao_credito;30/06/2024;444.47
7;28867;paypal;16/03/2024;1426.41
8;42440;pix;07/06/2024;603.74
9;9749;cartao_credito;31/08/2024;937.95
10;43485;pix;22/05/2024;1480.6
11;44183;cartao_credito;09/05/2024;1702.04
12;12895;cartao_credito;02/01/2024;464.17
13;5368;paypal;13/02/2024;345.06
14;10775;paypal;11/04/2024;352.47
15;23159;pix;21/04/2024;1986.17
16;37689;pix;08/04/2024;1471.67
17;17354;paypal;23/04/2024;185.01
18;30642;cartao_credito;19/08/2024;1656.82
19;2460;boleto;20/04/2024;1099.93
20;13601;boleto;06/05/2024;1833.99
21;26740;paypal;07/09/2024;1514.46
22;40195;pix;28/05/2024;1850.96
23;29233;cartao_credito;25/07/2024;211.4
24;33366;cartao_credito;03/09/2024;306.71
25;2335;boleto;26/02/2024;160.87
26;7376;paypal;08/07/2024;154.12
27;14097;pix;02/03/2024;532.76
28;27550;boleto;05/03/2024;945.57
29;41354;pix;26/02/2024;772.46
30;30027;paypal;19/09/2024;1068.8
31;14639;cartao_credito;07/03/2024;1394.35
32;40475;boleto;09/06/2024;1647.9
33;8204;boleto;15/03/2024;921.87
34;24101;cartao_credito;11/09/2024;306.62
35;7565;pix;23/06/2024;961.12
36;42793;paypal;17/07/2024;1376.18
37;21805;cartao_credito;25/05/2024;89.64
38;38895;pix;25/06/2024;313.81
39;6663;pix;01/03/2024;396.2
40;12952;paypal;17/02/2024;948.29
41;14089;paypal;01/08/2024;982.41
42;13117;cartao_credito;05/01/2024;305.44
43;17478;cartao_credito;07/03/2024;195.39
44;1157;pix;17/09/2024;1676.97
45;25524;paypal;07/02/2024;480.82
46;42929;cartao_credito;16/09/2024;724.09
47;44717;cartao_credito;04/07/2024;1053.02
48;5409;boleto;21/08/2024;1372.83
49;22635;pix;16/06/2024;881.92
50;42721;boleto;03/07/2024;1718.83
51;30642;cartao_credito;24/08/2024;637.1
52;30847;cartao_credito;28/05/2024;587.22
53;31592;boleto;06/01/2024;1879.89
54;32703;boleto;12/01/2024;1367.3
55;18768;boleto;25/07/2024;437.53
56;29482;boleto;11/07/2024;1271.87
57;8175;cartao_credito;23/05/2024;1111.63
58;10535;paypal;01/07/2024;1553.55
59;12568;boleto;21/02/2024;693.79
60;27004;paypal;21/04/2024;1919.07
61;10181;pix;21/03/2024;1935.9
62;43397;paypal;22/04/2024;645.65
63;6136;cartao_credito;02/04/2024;168.56
64;18780;pix;15/02/2024;1115.03
65;23609;cartao_credito;10/04/2024;1902.65
66;8487;pix;07/08/2024;546.05
67;36468;paypal;02/01/2024;475.8
68;20700;paypal;29/03/2024;1091.98
69;3503;pix;15/01/2024;414.15
70;5682;cartao_credito;04/04/2024;1779.05
71;3145;cartao_credito;25/02/2024;1898.32
72;33529;cartao_credito;05/01/2024;1934.12
73;42842;boleto;06/02/2024;1111.74
74;9184;paypal;09/01/2024;1912.65
75;7229;pix;18/02/2024;1688.15
76;44299;boleto;16/06/2024;1581.61
77;27425;cartao_credito;16/05/2024;428.86
78;42132;paypal;03/04/2024;815.96
79;3969;cartao_credito;06/07/2024;1354.36
80;8977;paypal;28/01/2024;779.84
81;12745;pix;20/07/2024;1755.78
82;16594;boleto;24/04/2024;1342.4
83;9864;pix;21/06/2024;1434.78
84;15499;boleto;04/04/2024;1024.18
85;31960;paypal;09/06/2024;232.95
86;7787;paypal;19/05/2024;209.25
87;35175;pix;16/07/2024;255.0
88;33375;cartao_credito;20/06/2024;743.12
89;16581;cartao_credito;05/05/2024;1139.56
90;21188;boleto;07/07/2024;1068.85
91;718;paypal;03/03/2024;1955.43
92;38436;cartao_credito;19/04/2024;244.46
93;11574;pix;30/05/2024;1358.09
94;40786;cartao_credito;06/03/2024;931.96
95;4185;pix;22/09/2024;1160.74
96;39703;boleto;31/05/2024;608.71
97;37621;pix;09/05/2024;772.2
98;6965;boleto;02/04/2024;1143.18
99;14679;pix;17/08/2024;462.41
100;8333;paypal;03/01/2024;263.91
101;42346;cartao_credito;08/03/2024;172.16
102;31967;cartao_credito;04/04/2024;882.66
103;30128;paypal;12/09/2024;1392.21
104;23058;pix;27/06/2024;679.87
105;26784;cartao_credito;24/03/2024;1656.07
106;23125;paypal;28/03/2024;1269.54
107;10449;pix;26/01/2024;215.93
108;29170;cartao_credito;09/07/2024;1022.54
109;12547;paypal;05/08/2024;1221.23
110;26574;pix;01/04/2024;387.47
111;31324;paypal;21/01/2024;1366.75
112;1369;paypal;27/02/2024;1049.29
113;36970;paypal;24/02/2024;1087.93
114;25423;paypal;01/01/2024;1551.38
115;31265;pix;02/04/2024;540.91
116;12438;paypal;29/06/2024;1073.99
117;34150;pix;08/05/2024;706.89
118;12241;pix;10/03/2024;1886.24
119;7428;cartao_credito;03/09/2024;745.21
120;16188;boleto;19/05/2024;972.95
121;32093;boleto;05/08/2024;480.85
122;33499;pix;04/07/2024;627.58
123;18228;paypal;10/07/2024;1574.39
124;8209;cartao_credito;19/05/2024;1675.78
125;31396;cartao_credito;01/08/2024;1565.02
126;11354;paypal;28/07/2024;1053.26
127;12807;pix;12/05/2024;508.86
128;2337;pix;16/01/2024;1576.48
129;28313;boleto;26/02/2024;885.25
130;21574;paypal;22/04/2024;123.65
131;16451;boleto;13/03/2024;929.87
132;14587;paypal;25/08/2024;1047.28
133;4027;paypal;09/03/2024;288.11
134;10316;boleto;15/04/2024;520.95
135;40708;cartao_credito;28/05/2024;625.47
136;13627;pix;08/01/2024;1353.07
137;18069;paypal;02/05/2024;314.2
138;8211;boleto;30/06/2024;725.42
139;31396;pix;15/09/2024;165.9
140;36807;pix;12/01/2024;387.39
141;29968;cartao_credito;08/03/2024;1802.75
142;12931;boleto;10/05/2024;1664.92
143;25535;pix;05/01/2024;1889.45
144;6834;cartao_credito;04/09/2024;230.02
145;9043;pix;17/01/2024;357.0
146;30035;paypal;25/07/2024;627.73
147;6902;boleto;18/06/2024;808.96
148;32807;boleto;03/08/2024;1656.62
149;8949;paypal;26/05/2024;127.65
150;32336;pix;30/03/2024;208.39
151;14648;boleto;01/04/2024;362.63
152;15523;pix;15/07/2024;346.81
153;39596;pix;13/05/2024;696.54
154;44569;paypal;27/05/2024;1460.24
155;41566;pix;24/03/2024;665.2
156;14308;cartao_credito;24/04/2024;341.93
157;32073;paypal;02/02/2024;739.21
158;42546;paypal;05/05/2024;264.39
159;9551;paypal;06/02/2024;1294.48
160;27731;pix;18/02/2024;1421.37
161;39409;cartao_credito;19/04/2024;84.11
162;35587;cartao_credito;28/04/2024;1250.72
163;4808;paypal;30/04/2024;1999.7
164;17841;paypal;05/08/2024;1768.85
165;41275;boleto;24/06/2024;445.2
166;8718;pix;23/03/2024;356.91
167;31033;pix;10/08/2024;1496.19
168;7771;boleto;23/05/2024;647.07
169;13880;paypal;08/06/2024;1221.12
170;31534;paypal;08/09/2024;483.85
171;38497;cartao_credito;24/05/2024;123.64
172;15596;cartao_credito;25/08/2024;327.19
173;9528;paypal;11/04/2024;624.54
174;21583;cartao_credito;08/04/2024;892.23
175;3091;boleto;16/06/2024;787.89
176;25053;pix;30/07/2024;746.72
177;7354;cartao_credito;26/07/2024;956.71
178;27701;pix;31/01/2024;190.93
179;4354;paypal;30/08/2024;1199.54
180;41206;paypal;27/08/2024;1226.11
181;3931;cartao_credito;19/07/2024;115.87
182;22681;cartao_credito;26/01/2024;317.86
183;18085;cartao_credito;05/05/2024;1320.53
184;28489;paypal;12/07/2024;265.72
185;39506;cartao_credito;29/08/2024;1005.87
186;28293;boleto;16/02/2024;430.11
187;10730;pix;04/09/2024;1706.78
188;15515;paypal;22/02/2024;763.63
189;22227;pix;28/04/2024;1877.94
190;14619;pix;08/08/2024;1523.9
191;3301;boleto;08/05/2024;297.83
192;40995;cartao_credito;01/03/2024;670.51
193;2172;boleto;10/07/2024;433.91
194;3796;cartao_credito;01/02/2024;1484.51
195;10834;cartao_credito;07/06/2024;372.49
196;38440;cartao_credito;29/02/2024;682.95
197;32454;cartao_credito;24/06/2024;303.09
198;35263;pix;21/05/2024;1128.91
199;33375;boleto;27/07/2024;1742.16
200;43205;paypal;02/01/2024;1638.25
201;42675;cartao_credito;22/02/2024;1899.41
202;14734;pix;25/05/2024;1908.99
203;18641;paypal;16/04/2024;424.67
204;38870;paypal;06/06/2024;313.29
205;2063;paypal;19/04/2024;640.2
206;40947;cartao_credito;03/07/2024;593.22
207;23429;pix;06/03/2024;109.81
208;5251;paypal;31/01/2024;1895.12
209;12301;pix;31/03/2024;321.87
210;32334;boleto;30/05/2024;73.82
211;23895;paypal;24/05/2024;703.56
212;12005;pix;29/07/2024;1785.74
213;26589;boleto;18/09/2024;203.5
214;43438;paypal;09/06/2024;713.0
215;29127;pix;06/01/2024;130.79
216;17793;cartao_credito;20/05/2024;429.55
217;5796;paypal;02/05/2024;1657.07
218;13150;paypal;26/05/2024;858.04
219;30884;pix;18/02/2024;308.68
220;36781;cartao_credito;16/09/2024;1667.64
221;23915;boleto;23/05/2024;1012.43
222;425;pix;27/08/2024;1081.81
223;42604;pix;31/08/2024;1569.92
224;7570;cartao_credito;20/08/2024;1118.03
225;28047;paypal;26/06/2024;1958.19
226;43896;pix;13/03/2024;430.45
227;31627;boleto;05/04/2024;1126.48
228;13967;paypal;10/04/2024;939.28
229;7769;pix;03/09/2024;1301.54
230;15323;pix;20/09/2024;598.47
231;7136;boleto;19/02/2024;1399.08
232;6255;boleto;05/04/2024;524.65
233;33472;boleto;17/01/2024;1783.81
234;44546;pix;06/02/2024;362.21
235;26117;cartao_credito;26/05/2024;610.54
236;34103;paypal;19/08/2024;202.45
237;34299;pix;14/01/2024;771.98
238;43803;paypal;11/08/2024;1653.01
239;27480;boleto;21/08/2024;1131.44
240;1886;pix;03/06/2024;1577.69
241;8656;paypal;11/01/2024;1831.44
242;36711;paypal;16/07/2024;64.74
243;5066;paypal;19/01/2024;1955.04
244;27792;cartao_credito;23/01/2024;139.88
245;34652;boleto;06/09/2024;461.36
246;36286;boleto;17/05/2024;1307.61
247;43557;boleto;06/06/2024;801.63
248;35301;pix;15/03/2024;1076.15
249;17816;paypal;10/02/2024;937.86
250;30730;boleto;13/01/2024;1912.24
251;1727;cartao_credito;30/08/2024;1975.21
252;1680;cartao_credito;01/01/2024;427.18
253;37183;cartao_credito;29/06/2024;928.76
254;16321;paypal;06/09/2024;127.48
255;3207;paypal;04/05/2024;512.49
256;33975;pix;02/05/2024;46.93
257;39051;boleto;22/04/2024;313.4
258;44972;paypal;19/09/2024;317.07
259;30664;pix;08/09/2024;1412.79
260;15542;boleto;27/05/2024;968.99
261;4529;cartao_credito;23/09/2024;1560.12
262;44315;boleto;02/06/2024;570.4
263;42388;paypal;06/07/2024;803.3
264;9317;pix;02/05/2024;667.57
265;12892;pix;12/08/2024;1487.04
266;9091;cartao_credito;17/05/2024;1500.19
267;35075;boleto;14/09/2024;1643.44
268;7525;pix;15/09/2024;915.47
269;9492;cartao_credito;02/06/2024;962.77
270;41122;cartao_credito;12/04/2024;1533.11
271;3858;boleto;27/05/2024;1829.77
272;31906;paypal;12/04/2024;1157.15
273;837;cartao_credito;09/01/2024;1324.34
274;13981;pix;15/03/2024;78.64
275;25746;cartao_credito;02/02/2024;177.73
276;12450;cartao_credito;25/08/2024;467.9
277;17184;paypal;30/05/2024;1586.95
278;34438;pix;12/03/2024;1637.41
