order_id;customer_id;product_id;quantidade;preco_total;data_pedido;status
1;43487;12818;3;1814.33;15/02/2024;pendente
2;2834;36799;3;229.22;13/02/2024;cancelado
3;18407;7165;2;399.17;20/09/2024;enviado
4;31437;37885;2;332.01;30/06/2024;pendente
5;3178;15121;2;1924.19;14/05/2024;pendente
6;40618;2670;4;1346.46;30/08/2024;enviado
7;16174;9345;3;616.56;17/08/2024;pendente
8;41443;36760;5;702.49;02/08/2024;enviado
9;26012;40197;1;1528.43;18/07/2024;enviado
10;23703;2431;2;1911.0;18/01/2024;cancelado
11;36013;10301;5;1652.86;28/03/2024;enviado
12;4131;15202;2;244.35;18/03/2024;entregue
13;8191;23044;4;1646.59;20/05/2024;entregue
14;27589;40691;3;490.52;03/04/2024;cancelado
15;24237;33868;4;652.76;10/06/2024;entregue
16;11181;15787;2;1317.65;15/07/2024;pendente
17;2390;32438;2;1246.99;04/06/2024;pendente
18;5549;6685;5;1485.64;17/08/2024;cancelado
19;19797;9154;1;784.94;03/02/2024;pendente
20;25055;21362;1;559.9;18/09/2024;entregue
21;34142;1867;4;1015.81;12/05/2024;cancelado
22;44605;4520;5;551.84;07/07/2024;enviado
23;6492;2876;5;1424.68;13/01/2024;enviado
24;43032;10805;5;465.07;30/08/2024;enviado
25;28783;23791;3;1255.74;03/07/2024;entregue
26;36609;28518;5;895.2;13/09/2024;pendente
27;12235;33374;5;29.02;06/05/2024;pendente
28;8551;11488;5;1750.98;02/02/2024;enviado
29;22747;33338;4;1406.95;07/09/2024;pendente
30;12044;33248;3;888.71;16/02/2024;cancelado
31;25305;22476;3;660.95;27/06/2024;entregue
32;33170;40057;4;547.56;09/01/2024;enviado
33;29780;41777;1;55.17;17/02/2024;enviado
34;141;40442;1;1370.85;14/04/2024;entregue
35;22058;20070;5;1282.0;16/09/2024;cancelado
36;8740;21903;4;1813.97;09/07/2024;pendente
37;5148;17201;3;802.75;10/01/2024;entregue
38;41008;22841;1;1287.34;03/09/2024;cancelado
39;23866;6598;3;1903.73;18/06/2024;cancelado
40;30833;19510;1;1949.4;26/07/2024;entregue
41;16529;19477;4;1372.39;02/04/2024;pendente
42;4451;21594;1;1468.62;09/03/2024;cancelado
43;21895;28741;5;1987.97;04/04/2024;entregue
44;6592;44420;1;1306.43;13/03/2024;pendente
45;21267;37739;3;1852.96;30/05/2024;cancelado
46;424;26158;2;510.23;25/04/2024;cancelado
47;5903;37138;5;152.01;25/03/2024;entregue
48;15955;9211;4;1924.26;20/05/2024;enviado
49;11914;37641;1;1391.04;23/07/2024;entregue
50;27364;18230;4;1851.12;25/03/2024;pendente
51;3940;34695;1;1361.76;18/09/2024;entregue
52;10806;29181;4;850.58;03/03/2024;pendente
53;19533;13853;3;1340.35;11/06/2024;cancelado
54;12389;21725;2;1948.54;01/03/2024;entregue
55;20635;26350;4;1520.26;18/02/2024;enviado
56;18889;36619;2;299.15;20/02/2024;entregue
57;1746;33472;4;1675.27;07/04/2024;entregue
58;10159;36318;5;1758.13;29/03/2024;cancelado
59;25872;21989;3;141.98;08/08/2024;enviado
60;16944;8909;3;422.86;04/07/2024;entregue
61;39259;29288;4;996.72;02/05/2024;entregue
62;41225;6727;5;630.42;20/08/2024;pendente
63;44362;21940;5;281.81;01/06/2024;entregue
64;35107;5791;5;1036.53;08/03/2024;enviado
65;21806;21829;4;1596.05;09/03/2024;entregue
66;31399;1317;2;1485.12;28/05/2024;entregue
67;15906;4872;2;536.13;23/08/2024;cancelado
68;5174;13886;5;529.15;12/08/2024;enviado
69;34126;8327;2;1678.18;15/02/2024;entregue
70;17188;30102;5;875.63;17/02/2024;enviado
71;38673;15654;3;1983.14;16/08/2024;enviado
72;32371;32782;4;439.66;11/09/2024;entregue
73;20291;3874;1;93.06;10/05/2024;cancelado
74;33303;30380;3;1638.4;08/02/2024;cancelado
75;44626;42987;2;1868.58;11/07/2024;entregue
76;5206;41771;1;1002.86;16/02/2024;pendente
77;21507;32281;4;278.32;12/08/2024;pendente
78;6891;5920;4;1932.57;12/01/2024;enviado
79;28935;9960;2;267.97;16/07/2024;pendente
80;36801;43618;1;1560.7;26/05/2024;entregue
81;2676;10611;2;418.84;31/03/2024;pendente
82;32381;3845;1;1599.17;24/07/2024;enviado
83;43226;20147;4;32.78;22/05/2024;enviado
84;21762;34312;1;322.95;03/09/2024;cancelado
85;13774;12019;4;1682.55;19/06/2024;entregue
86;8187;44385;4;160.53;11/05/2024;enviado
87;20017;37879;1;1711.83;22/04/2024;entregue
88;10136;28665;1;803.87;03/01/2024;pendente
89;39825;32045;2;1049.93;28/03/2024;pendente
90;6404;27173;5;1221.01;10/06/2024;entregue
91;28634;37984;4;1466.93;13/06/2024;cancelado
92;44578;4193;2;314.68;16/04/2024;enviado
93;25667;37901;5;711.99;06/05/2024;entregue
94;8002;31279;4;594.19;07/07/2024;entregue
95;23520;8219;4;26.86;20/09/2024;entregue
96;10236;26626;2;252.35;01/07/2024;enviado
97;25610;7401;1;1019.32;14/04/2024;cancelado
98;35433;1315;4;381.88;13/08/2024;enviado
99;9806;15641;3;1582.43;08/08/2024;cancelado
100;33933;25672;2;770.34;26/06/2024;pendente
101;16012;3125;5;996.25;06/01/2024;entregue
102;32233;15561;5;894.29;10/07/2024;enviado
103;23099;28333;5;1748.63;17/07/2024;cancelado
104;36674;24694;4;798.7;05/07/2024;enviado
105;38697;7335;5;541.48;11/02/2024;pendente
106;6359;7342;4;393.25;31/05/2024;pendente
107;41593;43483;2;1699.97;13/08/2024;pendente
108;24231;18914;1;111.23;26/04/2024;pendente
109;9740;28715;1;691.58;31/08/2024;cancelado
110;38450;39977;3;404.06;15/03/2024;pendente
111;17284;13735;4;488.13;01/01/2024;entregue
112;15288;15086;1;1430.12;23/06/2024;enviado
113;14532;2270;2;315.59;02/09/2024;cancelado
114;44334;16464;1;367.5;02/06/2024;cancelado
115;10800;1757;5;267.95;26/01/2024;enviado
116;44037;24315;3;1559.1;06/09/2024;cancelado
117;243;34455;4;1642.76;25/05/2024;entregue
118;18477;3179;2;186.43;27/01/2024;enviado
119;16608;37413;5;1974.55;16/07/2024;cancelado
120;32547;492;4;1692.45;18/01/2024;pendente
121;31727;39476;3;597.19;30/03/2024;cancelado
122;9419;8496;2;735.06;03/07/2024;enviado
123;27197;35940;4;1040.85;29/04/2024;cancelado
124;32216;29542;2;653.83;11/08/2024;cancelado
125;41728;31988;3;1441.27;05/04/2024;enviado
126;258;29002;5;1046.98;13/02/2024;cancelado
127;28859;1662;1;1505.91;25/07/2024;cancelado
128;40044;19989;2;540.91;08/03/2024;cancelado
129;7484;3688;4;987.74;28/07/2024;entregue
130;4065;30600;4;734.42;26/02/2024;enviado
131;11476;41518;1;1662.66;04/01/2024;cancelado
132;38233;4573;4;1476.37;07/02/2024;pendente
133;25699;20979;3;306.06;09/04/2024;enviado
134;24401;15616;4;209.43;19/01/2024;entregue
135;44998;17011;2;1890.86;06/09/2024;enviado
136;21118;34205;1;1428.29;24/05/2024;enviado
137;20274;8921;3;1089.97;11/07/2024;entregue
138;14540;3289;2;45.82;01/07/2024;cancelado
139;15814;37608;3;1490.88;01/03/2024;cancelado
140;7642;20851;3;1915.07;21/06/2024;cancelado
141;3570;41461;5;232.69;21/08/2024;entregue
142;35407;32209;4;975.34;14/06/2024;entregue
143;25221;42712;3;894.65;12/09/2024;enviado
144;39964;36551;1;1744.95;24/04/2024;enviado
145;8669;10220;3;405.55;03/02/2024;entregue
146;12670;36873;2;1433.77;22/09/2024;pendente
147;19326;25085;3;1470.22;28/06/2024;entregue
148;31518;35770;3;136.7;18/03/2024;pendente
149;12422;23917;5;991.01;23/09/2024;cancelado
150;32726;40807;5;1556.9;04/09/2024;pendente
151;8862;41968;1;1771.48;03/07/2024;cancelado
152;36306;11875;5;1869.05;24/02/2024;enviado
153;33036;21403;4;1415.84;02/08/2024;pendente
154;17427;2882;2;29.42;03/04/2024;enviado
155;24037;22973;4;1711.96;29/01/2024;cancelado
156;4802;33533;4;794.01;28/02/2024;pendente
157;8700;43095;3;270.0;17/03/2024;entregue
158;25161;8002;1;825.34;29/06/2024;pendente
159;43343;244;3;1899.27;16/07/2024;entregue
160;42123;16930;2;1828.67;03/02/2024;enviado
161;33571;35421;3;432.37;04/06/2024;enviado
162;12652;4901;4;964.81;01/07/2024;enviado
163;14629;13139;5;1048.89;10/01/2024;cancelado
164;8369;4145;2;1282.19;13/09/2024;cancelado
165;33863;16398;4;1895.17;28/07/2024;pendente
166;14423;39408;5;939.73;10/07/2024;pendente
167;19053;9738;5;516.05;18/02/2024;enviado
168;30618;33815;2;1618.45;04/02/2024;entregue
169;44632;23904;4;1790.5;31/03/2024;cancelado
170;28541;35314;3;622.62;12/03/2024;enviado
171;12853;18098;5;33.96;14/03/2024;pendente
172;280;41077;1;875.96;27/07/2024;cancelado
173;5471;41502;2;282.14;31/07/2024;cancelado
174;32612;1488;3;1482.33;23/02/2024;entregue
175;18608;28522;5;1491.99;30/08/2024;pendente
176;4358;42939;2;1202.6;10/06/2024;pendente
177;33544;14839;4;1380.39;30/05/2024;cancelado
178;27969;3497;4;508.15;02/07/2024;pendente
179;1479;9861;3;576.29;06/02/2024;enviado
180;37234;2612;3;712.21;07/05/2024;enviado
181;14779;31678;2;1194.21;15/03/2024;entregue
182;34829;19426;1;1829.63;05/08/2024;entregue
183;32439;33661;4;1913.87;06/03/2024;cancelado
184;26226;24834;4;757.71;12/04/2024;pendente
185;19808;25523;5;1397.13;24/07/2024;pendente
186;15820;17413;3;664.58;25/07/2024;pendente
187;3408;37974;2;393.33;21/05/2024;enviado
188;43071;21049;5;488.87;03/07/2024;cancelado
189;3930;29254;2;517.42;11/05/2024;enviado
190;35537;32008;3;522.89;12/09/2024;enviado
191;109;24519;3;1788.41;18/09/2024;enviado
192;27645;44790;3;448.59;23/04/2024;entregue
193;24863;41543;2;1665.65;10/06/2024;cancelado
194;12330;35133;1;247.55;28/07/2024;entregue
195;41039;19759;5;1824.95;17/07/2024;entregue
196;38832;43147;1;993.11;09/08/2024;entregue
197;14045;4591;4;1597.97;11/06/2024;entregue
198;6859;15793;4;1683.98;28/05/2024;cancelado
199;23320;7435;4;1264.51;15/02/2024;cancelado
200;2531;856;2;453.49;27/06/2024;enviado
201;38293;37889;5;1093.05;08/06/2024;pendente
202;39170;38761;1;1555.65;01/04/2024;pendente
203;5336;10888;2;1403.19;22/02/2024;cancelado
204;5738;8853;1;1427.63;02/08/2024;cancelado
205;20460;34325;3;1646.59;20/08/2024;cancelado
206;8733;18661;1;1501.35;31/08/2024;entregue
207;26292;29317;5;1976.31;14/03/2024;pendente
208;21937;39078;1;465.39;08/01/2024;pendente
209;15884;18523;5;595.23;11/03/2024;pendente
210;33560;36364;4;860.7;22/05/2024;pendente
211;29904;12485;4;1466.34;29/01/2024;pendente
212;9749;10712;2;236.55;17/02/2024;cancelado
213;29890;23308;4;218.84;06/08/2024;cancelado
