product_id;nome_do_produto;categoria;preço;estoque
1;minute;Eletronicos;983.29;58
2;speech;Moveis;107.01;92
3;view;Roupas;190.39;27
4;onto;Eletronicos;124.82;27
5;page;Roupas;26.19;10
6;can;Roupas;844.55;0
7;box;Eletronicos;540.18;30
8;her;Moveis;629.21;65
9;writer;Moveis;895.83;51
10;pattern;Roupas;200.25;69
11;religious;Livros;406.41;91
12;page;Roupas;831.63;64
13;mind;Roupas;866.08;23
14;everyone;Moveis;464.03;35
15;painting;Roupas;319.83;60
16;executive;Eletronicos;154.62;12
17;mean;Eletronicos;447.21;94
18;key;Roupas;219.43;45
19;paper;Moveis;224.11;39
20;describe;Moveis;598.2;24
21;throw;Eletronicos;910.98;80
22;garden;Eletronicos;915.82;26
23;pattern;Moveis;725.38;0
24;take;Livros;931.45;62
25;eye;Roupas;553.71;98
26;group;Moveis;418.39;38
27;between;Eletronicos;257.6;1
28;cold;Moveis;879.66;49
29;section;Livros;960.96;28
30;its;Livros;710.08;64
31;direction;Livros;18.32;49
32;final;Moveis;894.54;56
33;protect;Livros;472.48;64
34;blue;Moveis;283.17;99
35;notice;Roupas;81.32;1
36;room;Eletronicos;347.62;13
37;assume;Eletronicos;727.51;94
38;medical;Moveis;515.79;85
39;reason;Livros;961.94;29
40;someone;Roupas;915.53;68
41;himself;Moveis;924.51;42
42;project;Moveis;89.45;40
43;account;Livros;330.66;98
44;collection;Moveis;550.67;97
45;record;Roupas;255.32;52
46;weight;Livros;723.06;87
47;social;Eletronicos;137.54;95
48;resource;Livros;318.11;36
49;effort;Moveis;514.12;61
50;score;Moveis;933.59;49
51;bit;Roupas;455.09;95
52;pretty;Moveis;177.24;21
53;prevent;Livros;812.32;99
54;team;Livros;395.93;5
55;in;Roupas;440.29;78
56;history;Moveis;540.59;45
57;series;Livros;606.31;74
58;enough;Moveis;537.42;47
59;environment;Moveis;563.68;1
60;assume;Moveis;870.73;26
61;reduce;Livros;360.24;64
62;organization;Eletronicos;490.99;24
63;sense;Moveis;137.64;39
64;five;Eletronicos;754.52;66
65;worker;Eletronicos;154.95;1
66;air;Roupas;109.07;15
67;assume;Livros;524.67;86
68;improve;Livros;987.03;13
69;visit;Moveis;809.83;92
70;film;Moveis;955.87;21
71;nation;Roupas;440.64;9
72;carry;Moveis;377.68;99
73;foot;Roupas;408.53;75
74;unit;Eletronicos;961.72;62
75;yourself;Roupas;582.52;45
76;stock;Moveis;20.23;60
77;clearly;Roupas;723.91;43
78;standard;Eletronicos;495.17;7
79;the;Livros;269.25;69
80;draw;Livros;630.89;97
81;interview;Moveis;481.27;15
82;current;Roupas;618.96;47
83;now;Moveis;690.84;78
84;population;Livros;712.61;22
85;person;Livros;897.22;56
86;poor;Roupas;668.57;35
87;start;Roupas;554.01;72
88;set;Eletronicos;844.85;20
89;challenge;Roupas;973.04;99
90;wide;Roupas;951.68;69
91;model;Roupas;547.12;13
92;open;Eletronicos;939.83;56
93;kitchen;Moveis;874.14;72
94;tax;Eletronicos;581.56;56
95;get;Roupas;806.49;98
96;couple;Moveis;996.53;65
97;sure;Roupas;819.19;16
98;off;Livros;706.53;23
99;possible;Eletronicos;665.63;81
100;seem;Eletronicos;206.1;44
101;white;Roupas;690.48;16
102;upon;Roupas;895.83;74
103;maintain;Livros;579.1;21
104;feeling;Eletronicos;586.84;36
105;hit;Moveis;973.99;90
106;nearly;Eletronicos;787.98;42
107;president;Livros;840.82;26
108;you;Livros;819.33;40
109;pressure;Livros;712.97;14
110;structure;Eletronicos;890.46;46
111;specific;Livros;663.88;18
112;baby;Roupas;202.66;44
113;community;Moveis;989.56;1
114;pass;Livros;302.17;25
115;call;Roupas;103.03;48
116;paper;Livros;294.12;67
117;final;Eletronicos;274.5;92
118;side;Eletronicos;309.77;65
119;beat;Eletronicos;868.81;72
120;away;Moveis;995.12;77
121;hear;Moveis;833.47;70
122;could;Moveis;961.34;86
123;writer;Livros;141.37;14
124;high;Moveis;578.16;20
125;partner;Livros;683.55;9
126;personal;Eletronicos;892.36;13
127;traditional;Livros;441.62;38
128;four;Eletronicos;201.8;9
129;green;Roupas;156.28;32
130;mission;Moveis;706.44;46
131;produce;Roupas;443.52;64
132;good;Eletronicos;568.64;64
133;answer;Livros;13.08;93
134;security;Moveis;107.75;15
135;outside;Roupas;419.08;9
136;almost;Moveis;303.07;92
137;energy;Moveis;590.95;60
138;but;Livros;378.92;33
139;free;Livros;152.43;21
140;someone;Eletronicos;849.52;96
141;room;Livros;55.27;56
142;half;Moveis;762.47;50
143;red;Livros;681.24;71
144;whatever;Eletronicos;148.68;58
145;prepare;Eletronicos;670.26;78
146;information;Eletronicos;802.37;49
147;no;Eletronicos;532.07;45
148;mind;Moveis;321.05;51
149;physical;Eletronicos;668.42;73
150;and;Moveis;889.14;7
151;skill;Moveis;42.84;79
152;policy;Moveis;210.21;68
153;throw;Eletronicos;312.34;0
154;performance;Moveis;551.68;36
155;coach;Livros;897.66;39
156;small;Livros;389.82;55
157;compare;Moveis;801.01;92
158;investment;Eletronicos;620.08;67
159;control;Roupas;551.11;88
160;decide;Roupas;415.1;2
161;ahead;Roupas;908.85;46
162;author;Eletronicos;438.28;89
163;simple;Livros;328.1;10
164;wall;Livros;401.09;95
165;find;Roupas;356.74;62
166;realize;Eletronicos;712.26;21
167;accept;Moveis;712.51;57
168;huge;Moveis;173.82;16
169;often;Moveis;922.86;85
170;lay;Eletronicos;451.87;24
171;leave;Roupas;562.54;56
172;middle;Livros;123.41;63
173;owner;Eletronicos;927.65;14
174;beat;Eletronicos;978.96;21
175;white;Moveis;832.72;99
176;doctor;Moveis;221.27;3
177;matter;Eletronicos;987.2;0
178;must;Roupas;95.2;59
179;television;Eletronicos;364.56;74
180;meet;Eletronicos;833.17;57
181;perhaps;Moveis;964.72;39
182;future;Livros;333.76;27
183;nation;Moveis;627.87;98
184;edge;Moveis;912.24;64
185;show;Livros;83.05;28
